"record","cell","area_mean_3"
"Record_2025-04-16_10-38-00",77,48.5733333333333
"Record_2025-04-16_10-38-00",78,49.193
"Record_2025-04-16_10-38-00",79,47.0773076923077
"Record_2025-04-16_10-38-00",80,46.8566666666667
"Record_2025-04-16_10-38-00",81,46.8246153846154
"Record_2025-04-16_10-38-00",82,42.5993103448276
"Record_2025-04-16_10-38-00",83,46.2953846153846
"Record_2025-04-16_10-38-00",84,46.608
"Record_2025-04-16_10-38-00",85,46.337
"Record_2025-04-16_10-38-00",86,46.152
"Record_2025-04-16_10-38-00",87,49.805
"Record_2025-04-16_10-38-00",88,52.3244827586207
"Record_2025-04-16_10-38-00",89,45.2233333333333
"Record_2025-04-16_10-38-00",90,47.5361538461538
"Record_2025-04-16_10-38-00",91,47.878
"Record_2025-04-16_10-38-00",92,47.4834615384615
"Record_2025-04-16_10-38-00",93,46.267
"Record_2025-04-16_10-38-00",94,47.4766666666667
"Record_2025-04-16_10-38-00",95,46.665
"Record_2025-04-16_10-38-00",96,46.1183333333333
"Record_2025-04-16_10-38-00",97,43.2688461538462
"Record_2025-04-16_10-38-00",98,48.445
"Record_2025-04-16_10-38-00",99,51.831
"Record_2025-04-16_10-38-00",100,44.743
"Record_2025-04-16_10-38-00",101,43.3546153846154
"Record_2025-04-16_10-38-00",102,47.4366666666667
"Record_2025-04-16_10-38-00",103,47.6442307692308
"Record_2025-04-16_10-38-00",104,42.5593333333333
"Record_2025-04-16_10-38-00",105,46.62
"Record_2025-04-16_10-38-00",106,47.1815384615385
"Record_2025-04-16_10-38-00",107,47.2748275862069
"Record_2025-04-16_10-38-00",108,47.1853333333333
"Record_2025-04-16_10-38-00",109,44.704
"Record_2025-04-16_10-38-00",110,50.4006666666667
"Record_2025-04-16_10-38-00",111,44.5669230769231
"Record_2025-04-16_10-38-00",112,47.2636666666667
"Record_2025-04-16_10-38-00",113,47.1053333333333
"Record_2025-04-16_10-38-00",114,47.1126666666667
"Record_2025-04-16_10-38-00",115,46.0326923076923
"Record_2025-04-16_10-38-00",116,46.5783333333333
"Record_2025-04-16_10-38-00",117,45.686
"Record_2025-04-16_10-38-00",118,46.5703846153846
"Record_2025-04-16_10-38-00",119,46.6646153846154
"Record_2025-04-16_10-38-00",120,48.4283333333333
"Record_2025-04-16_10-38-00",121,53.6726923076923
"Record_2025-04-16_10-38-00",122,45.6883333333333
"Record_2025-04-16_10-38-00",123,45.1944827586207
"Record_2025-04-16_10-38-00",124,45.7006666666667
"Record_2025-04-16_10-38-00",125,45.6656666666667
"Record_2025-04-16_10-38-00",126,46.5666666666667
"Record_2025-04-16_10-38-00",127,46.2824137931035
"Record_2025-04-16_10-38-00",128,44.8606666666667
"Record_2025-04-16_10-38-00",129,43.3138461538462
"Record_2025-04-16_10-38-00",130,47.2148275862069
"Record_2025-04-16_10-38-00",131,46.201
"Record_2025-04-16_10-38-00",132,51.8556666666667
"Record_2025-04-16_10-38-00",133,49.4762068965517
"Record_2025-04-16_10-38-00",134,46.6703448275862
"Record_2025-04-16_10-38-00",135,46.8134615384615
"Record_2025-04-16_10-38-00",136,45.607
"Record_2025-04-16_10-38-00",137,43.147
"Record_2025-04-16_10-38-00",138,45.62
"Record_2025-04-16_10-38-00",139,45.9965384615385
"Record_2025-04-16_10-38-00",140,43.6830769230769
"Record_2025-04-16_10-38-00",141,46.9496666666667
"Record_2025-04-16_10-38-00",142,46.9993103448276
"Record_2025-04-16_10-38-00",143,50.1026923076923
"Record_2025-04-16_10-38-00",144,45.7057692307692
"Record_2025-04-16_10-38-00",145,44.3823333333333
"Record_2025-04-16_10-38-00",146,45.7407692307692
"Record_2025-04-16_10-38-00",147,44.6983333333333
"Record_2025-04-16_10-38-00",148,43.2686666666667
"Record_2025-04-16_10-38-00",149,45.8911538461538
"Record_2025-04-16_10-38-00",150,43.3876923076923
"Record_2025-04-16_10-38-00",151,45.8403333333333
"Record_2025-04-16_10-38-00",152,46.9223076923077
"Record_2025-04-16_10-38-00",153,46.3589655172414
"Record_2025-04-16_10-38-00",154,49.3607692307692
"Record_2025-04-16_10-38-00",155,48.4046153846154
"Record_2025-04-16_10-38-00",156,46.8926666666667
"Record_2025-04-16_10-38-00",157,46.0379310344828
"Record_2025-04-16_10-38-00",158,44.5423076923077
"Record_2025-04-16_10-38-00",159,44.8176923076923
"Record_2025-04-16_10-38-00",160,47.1711538461538
"Record_2025-04-16_10-38-00",161,43.8123076923077
"Record_2025-04-16_10-38-00",162,45.8365384615385
"Record_2025-04-16_10-38-00",163,45.485
"Record_2025-04-16_10-38-00",164,45.277
"Record_2025-04-16_10-38-00",165,50.5865384615385
"Record_2025-04-16_10-38-00",166,47.0063333333333
