"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
225,0,17.889,0.894,0,0.015,0.015,0,0,0,1360,68,0,0,0,0,NA
226,0,20.624,0.947,0,0.015,0.015,0,0,0,1568,72,0,0,0,0,NA
227,0,23.097,1,0,0.015,0.015,0,0,0,1756,76,0,0,0,0,NA
228,0,25.465,1.368,0,0.015,0.015,0,0,0,1936,104,0,0,0,0,NA
229,0,27.885,1.21,0,0.015,0.015,0,0,0,2120,92,0,0,0,0,NA
230,0,30.095,1.578,0,0.015,0.015,0,0,0,2288,120,0,0,0,0,NA
231,0,32.357,1.789,0,0.015,0.015,0,0,0,2460,136,0,0,0,0,NA
232,0,8.629,3.999,0,0.015,0.015,0,0,0,656,304,0,0,0,0,NA
233,1.235,0,0,4.181,1.584,0.992,113.608,0.887,1.631,773.5,125.5,112.531,1.003,1.597,0.626,0.997
234,1.797,0,0,5.158,1.986,1.152,53.663,0.848,2.087,1004,227,56.31,1.18,1.724,0.58,0.991
235,1.278,0,0,4.404,1.741,0.935,80.079,0.828,1.841,1169,213,74.673,0.967,1.863,0.537,1.001
236,2.329,0,0,5.74,2.11,1.406,62.688,0.888,2.272,1400,217,65.364,1.43,1.501,0.666,0.999
237,1.728,0,0,5.035,1.949,1.129,69.369,0.857,2.065,1583,194,63.108,1.16,1.726,0.579,1
238,0,23.216,3.525,0,0.015,0.015,0,0,0,1765,268,0,0,0,0,NA
239,1.59,0,0,4.695,1.725,1.173,135.766,0.906,1.847,1777,187,142.232,1.204,1.47,0.68,0.999
240,1.32,0,0,4.233,1.452,1.158,168.524,0.926,1.551,2176,302,167.26,1.171,1.255,0.797,1
241,0,30.489,3.893,0,0.015,0.015,0,0,0,2318,296,0,0,0,0,NA
242,0,32.397,4.078,0,0.015,0.015,0,0,0,2463,310,0,0,0,0,NA
243,0,8.681,6.261,0,0.015,0.015,0,0,0,660,476,0,0,0,0,NA
244,2.361,0,0,5.929,2.235,1.345,73.223,0.844,2.415,865,440,66.228,1.402,1.663,0.601,1
245,0.826,0,0,3.405,1.227,0.857,127.039,0.895,1.308,938,379.5,132.758,0.885,1.432,0.698,0.996
246,2.698,0,0,6.175,2.263,1.518,106.579,0.889,2.389,1221,413,104.342,1.563,1.491,0.671,0.997
247,0,18.152,6.261,0,0.015,0.015,0,0,0,1380,476,0,0,0,0,NA
248,1.279,0,0,4.207,1.576,1.033,29.358,0.908,1.621,1579,398,28.332,1.048,1.526,0.655,0.998
249,0,23.347,6.051,0,0.015,0.015,0,0,0,1775,460,0,0,0,0,NA
250,0,25.715,6.182,0,0.015,0.015,0,0,0,1955,470,0,0,0,0,NA
251,1.229,0,0,4.344,1.695,0.923,79.103,0.818,1.792,2105,613.5,77.494,0.952,1.837,0.544,0.989
252,1.261,0,0,4.504,1.808,0.888,39.943,0.781,1.95,2317.5,431.5,39.113,0.949,2.036,0.491,0.997
253,0,32.469,6.393,0,0.015,0.015,0,0,0,2468.5,486,0,0,0,0,NA
254,0,9.207,9.155,0,0.015,0.015,0,0,0,700,696,0,0,0,0,NA
255,2.152,0,0,5.629,2.156,1.271,55.192,0.854,2.28,717,788,56.768,1.332,1.696,0.59,0.999
256,1.135,0,0,4.005,1.468,0.984,122.482,0.889,1.525,1051,655,119.438,1.029,1.492,0.67,0.996
257,1.495,0,0,4.479,1.616,1.178,107.061,0.937,1.666,1140,536,111.297,1.193,1.371,0.729,1
258,0,18.546,8.247,0,0.015,0.015,0,0,0,1410,627,0,0,0,0,NA
259,0,20.717,8.247,0,0.015,0.015,0,0,0,1575,627,0,0,0,0,NA
260,1.499,0,0,4.605,1.761,1.084,81.339,0.888,1.82,1809,588,85.855,1.096,1.624,0.616,0.999
261,0,25.728,8.471,0,0.015,0.015,0,0,0,1956,644,0,0,0,0,NA
262,0,27.99,8.655,0,0.015,0.015,0,0,0,2128,658,0,0,0,0,NA
263,1.14,0,0,4.182,1.614,0.899,57.193,0.819,1.76,2331,635,58.449,0.926,1.795,0.557,0.992
264,0,32.357,8.826,0,0.015,0.015,0,0,0,2460,671,0,0,0,0,NA
265,0,8.997,11.101,0,0.015,0.015,0,0,0,684,844,0,0,0,0,NA
266,0,11.049,11.259,0,0.015,0.015,0,0,0,840,856,0,0,0,0,NA
267,0,13.469,10.996,0,0.015,0.015,0,0,0,1024,836,0,0,0,0,NA
268,0.991,0,0,3.979,1.557,0.81,32.805,0.787,1.643,1095,901,29.233,0.865,1.921,0.521,0.999
269,1.953,0,0,5.837,2.384,1.043,48.143,0.72,2.508,1400,830,49.04,1.088,2.286,0.437,0.989
270,2.571,0,0,6.14,2.256,1.451,131.631,0.857,2.441,1623,819,124.461,1.471,1.555,0.643,1
271,1.1,0,0,3.863,1.418,0.988,157.316,0.926,1.471,1701,730,154.581,0.988,1.435,0.697,1
272,2.214,0,0,5.609,2.061,1.368,137.496,0.884,2.218,1836.5,670.5,135.841,1.392,1.507,0.664,0.996
273,1.293,0,0,4.706,1.892,0.87,145.004,0.733,2.043,2174.5,799.5,143.905,0.904,2.175,0.46,0.993
274,0,30.503,11.18,0,0.015,0.015,0,0,0,2319,850,0,0,0,0,NA
275,0,32.397,11.233,0,0.015,0.015,0,0,0,2463,854,0,0,0,0,NA
276,0,9.26,13.679,0,0.015,0.015,0,0,0,704,1040,0,0,0,0,NA
277,0,11.47,13.364,0,0.015,0.015,0,0,0,872,1016,0,0,0,0,NA
278,0,13.416,13.469,0,0.015,0.015,0,0,0,1020,1024,0,0,0,0,NA
279,0,15.889,13.522,0,0.015,0.015,0,0,0,1208,1028,0,0,0,0,NA
280,1.711,0,0,4.944,1.889,1.153,22.248,0.879,1.938,1237,1104,29.697,1.146,1.638,0.61,0.993
281,2.65,0,0,6.232,2.438,1.384,14.837,0.857,2.55,1389,1090,15.255,1.426,1.762,0.567,1
282,1.59,0,0,4.905,1.87,1.083,58.547,0.831,2.018,1812,1000,57.242,1.132,1.726,0.579,0.991
283,0,25.675,13.364,0,0.015,0.015,0,0,0,1952,1016,0,0,0,0,NA
284,1.924,0,0,5.335,2.028,1.208,100.518,0.849,2.193,2134,1060,100.366,1.27,1.678,0.596,0.995
285,1.314,0,0,4.399,1.653,1.012,7.119,0.854,1.736,2351,995,179.566,1.065,1.633,0.612,0.989
286,0,32.647,13.719,0,0.015,0.015,0,0,0,2482,1043,0,0,0,0,NA
287,0,9.049,16.1,0,0.015,0.015,0,0,0,688,1224,0,0,0,0,NA
288,1.857,0,0,5.133,1.991,1.188,95.938,0.886,2.043,845,1032,93.691,1.183,1.676,0.597,1
289,0,13.337,15.745,0,0.015,0.015,0,0,0,1014,1197,0,0,0,0,NA
290,0,15.705,15.942,0,0.015,0.015,0,0,0,1194,1212,0,0,0,0,NA
291,0,18.231,15.587,0,0.015,0.015,0,0,0,1386,1185,0,0,0,0,NA
292,0.286,0,0,2.136,0.809,0.451,21.835,0.788,0.869,1547.5,1251.5,35.134,0.457,1.794,0.558,1.002
