tray,row,col,cell,notes,si,site,individual,id,d23T,d23C,d22T,d22C,d21T,d21C,d20T,d20C,d19T,d19C,d18T,d18C,d17T,d17C,d16T,d16C,d15T,d15C,d14T,d14C,dx,dx
1,16,6,171,,S14I4,14,4,4958,4,4,4,4,4,4,4,3,4,2,4,1,4,1,4,1,1,1,0,0,,
1,16,7,172,,S1I2,1,2,4959,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,0,0,0,0,0,,
1,16,8,173,,S15I2,15,2,4960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,16,9,174,,S14I1,14,1,4961,4,4,4,4,4,4,4,4,4,3,3,0,2,0,0,1,0,1,0,0,,
1,16,10,175,,S1I2,1,2,4962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,16,11,176,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,17,1,177,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,17,2,178,,S13I2,13,2,4963,4,4,4,4,4,4,4,3,3,3,3,3,2,1,2,0,2,0,0,0,,
1,17,3,179,,S14I4,14,4,4964,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,0,0,0,0,,
1,17,4,180,,S15I4,15,4,4965,4,4,4,4,4,4,4,4,4,4,4,2,4,0,4,0,2,0,0,0,,
1,17,5,181,,S15I2,15,2,4966,4,4,4,2,2,2,2,2,2,2,1,1,1,0,1,0,0,0,0,0,,
1,17,6,182,,S14I1,14,1,4967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,17,7,183,,S14I1,14,1,4968,2,2,2,2,4,2,2,2,2,2,0,1,0,0,0,1,1,1,0,0,,
1,17,8,184,,S15I4,15,4,4969,4,4,4,4,4,4,4,4,2,2,1,1,0,0,1,0,0,0,0,0,,
1,17,9,185,,S14I3,14,3,4970,4,4,2,2,3,3,2,2,2,2,1,1,0,0,0,0,0,1,0,0,,
1,17,10,186,D2,S1I11,1,11,4971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,17,11,187,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,18,1,188,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,18,2,189,,S14I3,14,3,4972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,3,190,D2,S15I2,15,2,4973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,4,191,,S1I2,1,2,4974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,5,192,,S1I11,1,11,4975,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,,
1,18,6,193,,S1I7,1,7,4976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,7,194,,S15I5,15,5,4977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,8,195,D2,S1I11,1,11,4978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,9,196,,S14I3,14,3,4979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,10,197,D2,S15I2,15,2,4980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,18,11,198,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,19,1,199,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,19,2,200,,S13I1,13,1,4981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,19,3,201,,S15I4,15,4,4982,4,4,4,4,4,4,3,3,2,2,1,1,1,0,1,1,0,1,0,0,,
1,19,4,202,,S1I2,1,2,4983,4,4,4,4,3,3,3,3,2,2,4,1,4,1,3,1,0,0,0,0,,
1,19,5,203,,S15I2,15,2,4984,4,4,3,3,2,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,,
1,19,6,204,,S14I3,14,3,4985,4,4,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,,
1,19,7,205,,S1I2,1,2,4986,3,3,2,2,4,3,3,2,4,1,4,1,1,1,1,1,0,1,0,0,,
1,19,8,206,,S14I2,14,2,4987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,19,9,207,,S1I8,1,8,4988,4,4,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,,
1,19,10,208,,S14I1,14,1,4989,4,4,4,4,4,4,4,4,4,4,2,2,1,1,0,0,0,0,0,0,,
1,19,11,209,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,1,210,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,2,211,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,3,212,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,4,213,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,5,214,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,6,215,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20,7,216,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
