"","id","cell","tray","row","col","si","site","individual","d9","d13","family","where","time_to_one","time_to_two","time_to_three","time_to_four","time_to_four_adj","fustat","day_sum","dead_count","experiment"
"126","5002",247,"2","3","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"127","5003",248,"2","3","6","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"128","5005",250,"2","3","8","S1I2","1","2","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"129","5006",251,"2","3","9","S14I3","14","3","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"130","5007",252,"2","3","10","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"131","5008",255,"2","4","2","S1I8","1","8","5","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,3,0,20250922
"132","5009",256,"2","4","3","S1I2","1","2","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"133","5010",257,"2","4","4","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"134","5011",258,"2","4","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"135","5012",259,"2","4","6","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"136","5013",260,"2","4","7","S14I2","14","2","0","1","spring meadows","perimeter",13,NA,NA,NA,NA,0,3,0,20250922
"137","5014",261,"2","4","8","S1I6","1","6","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"138","5015",262,"2","4","9","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"139","5016",263,"2","4","10","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"140","5017",266,"2","5","2","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"141","5021",270,"2","5","6","S1I2","1","2","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"142","5022",271,"2","5","7","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"143","5023",272,"2","5","8","S14I2","14","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"144","5025",274,"2","5","10","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"145","5026",277,"2","6","2","S15I5","15","5","0","5","hw190 east","DV",NA,NA,NA,NA,NA,0,4,0,20250922
"146","5027",278,"2","6","3","S15I4","15","4","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"147","5028",279,"2","6","4","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"148","5029",280,"2","6","5","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"149","5030",281,"2","6","6","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"150","5031",282,"2","6","7","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"151","5032",283,"2","6","8","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"152","5033",284,"2","6","9","S1I5","1","5","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"153","5034",285,"2","6","10","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"154","5037",290,"2","7","4","S1I4","1","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"155","5039",292,"2","7","6","S1I7","1","7","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"156","5041",294,"2","7","8","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"157","5042",295,"2","7","9","S1I11","1","11","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"158","5044",299,"2","8","2","S1I7","1","7","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"159","5046",301,"2","8","4","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"160","5047",302,"2","8","5","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"161","5048",303,"2","8","6","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"162","5049",304,"2","8","7","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"163","5050",305,"2","8","8","S15I2","15","2","5","0","hw190 east","DV",NA,NA,NA,NA,NA,0,3,0,20250922
"164","5051",306,"2","8","9","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"165","5053",310,"2","9","2","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"166","5054",311,"2","9","3","S1I4","1","4","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"167","5055",312,"2","9","4","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
